session_id,date,start,end,hall,venue_key,place,track,track_curator,kind,title,speaker_keys,speaker_slugs,organizer_key
g8-2026-e110,2026-09-11,11:55,12:15,Гостиная,хлебозавод №9,Хлебозавод,REDDAY,Анна Зайцева,talk,"Искусство брифа: превращаем мысли в идею, или как направлять креативную команду",виктория горшкова,viktoriya-gorshkova,g8
g8-2026-e111,2026-09-11,12:15,12:35,Гостиная,хлебозавод №9,Хлебозавод,REDDAY,Анна Зайцева,talk,Баланс ингредиентов в ивенте: тренды + креатив + визуал,ирина волкова,irina-volkova,g8
g8-2026-e113,2026-09-11,12:40,13:00,Гостиная,хлебозавод №9,Хлебозавод,REDDAY,Анна Зайцева,talk,Тонкости международной ивент-кухни,артём минасян,artem-minasyan,g8
g8-2026-e114,2026-09-11,13:00,13:20,Гостиная,хлебозавод №9,Хлебозавод,REDDAY,Анна Зайцева,talk,Когда ивент не нужен,карина шабанова,karina-shabanova,g8
g8-2026-e116,2026-09-11,13:40,14:25,Гостиная,хлебозавод №9,Хлебозавод,REDDAY,Анна Зайцева,disc,Дискуссия ПРО ЗАКУПКИ. Сладкий вкус победы в тендере: внутренняя кухня отдела закупок,александр литвин; регина каллагова; артём кондратенко; нелли наджарян; виктория бутикова; ксения масчан,aleksandr-litvin; regina-kallagova; artem-kondratenko; nelli-nadzharyan; viktoriya-butikova; kseniya-maschan,g8
g8-2026-e118,2026-09-11,14:35,14:55,Гостиная,хлебозавод №9,Хлебозавод,REDDAY,Анна Зайцева,talk,Как выстраивать режиссуру на простых приемах вместо сложных концепций,никита прядко,nikita-pryadko,g8
g8-2026-e119,2026-09-11,14:55,15:15,Гостиная,хлебозавод №9,Хлебозавод,REDDAY,Анна Зайцева,talk,"Принципиально масштабно, или как реализуются большие проекты",ольга рыдзевская,olga-rydzevskaya,g8
g8-2026-e121,2026-09-11,15:20,15:40,Гостиная,хлебозавод №9,Хлебозавод,REDDAY,Анна Зайцева,talk,Соль по рецепту: как дисциплина проектного менеджмента выигрывает на длинной дистанции,евгения галетка,evgeniya-galetka,g8
g8-2026-e122,2026-09-11,15:40,16:00,Гостиная,хлебозавод №9,Хлебозавод,REDDAY,Анна Зайцева,talk,Перца по вкусу не бывает: как натренировать чувство креатива,алексей мочалов,aleksei-mochalov,g8
g8-2026-e124,2026-09-11,16:05,16:25,Гостиная,хлебозавод №9,Хлебозавод,REDDAY,Анна Зайцева,talk,"Всё решают детали. Неочевидные решения, которые влияют на отношения с клиентом",игорь демидов,igor-demidov,g8
g8-2026-e125,2026-09-11,16:25,16:45,Гостиная,хлебозавод №9,Хлебозавод,REDDAY,Анна Зайцева,talk,Как за 4 дня построить замок в Лужниках. Опыт креативной студии при работе со стадионными концертами,алексей журавлёв,aleksei-zhuravlev,g8
